Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;4;4;0.0
4;0.25;1;[0,3];2;4;4;0.0
4;0.5;3;[0,3];2;4;4;0.0
4;0.75;4;[0,1];2;4;4;0.0
5;0.125;1;[0];1;5;5;0.0
5;0.25;2;[0,3];2;5;5;0.0
5;0.5;5;[0,1,4];3;5;5;0.0
5;0.75;7;[0,1,3];3;5;5;0.0
6;0.125;1;[0];1;6;6;0.0
6;0.25;3;[0,5];2;6;6;0.0
6;0.5;7;[0,1,2];3;6;6;0.0
6;0.75;11;[0,1,3];3;6;6;0.0
7;0.125;2;[0,5];2;7;7;0.0
7;0.25;5;[0,2];2;7;7;0.0
7;0.5;10;[0,1];2;7;7;0.0
7;0.75;15;[0,2,3,6];4;7;7;0.0
8;0.125;3;[0,3];2;8;8;0.0
8;0.25;7;[0];1;8;8;0.0
8;0.5;14;[0,1,2,7];4;8;8;0.0
8;0.75;21;[0,2,3,4];4;8;8;0.0
9;0.125;4;[0,7];2;9;9;0.0
9;0.25;9;[0,1,5];3;9;9;0.0
9;0.5;18;[0,2];2;9;9;0.0
9;0.75;27;[0,1,5,8];4;9;9;0.0
10;0.125;5;[0,1];2;10;10;0.0
10;0.25;11;[0,4];2;10;10;0.0
10;0.5;22;[0,1,4];3;10;10;0.0
10;0.75;33;[0,1,3,5,7];5;10;10;0.0
11;0.125;6;[0,9];2;11;11;0.0
11;0.25;13;[0,1];2;11;11;0.0
11;0.5;27;[0,9,10,7];4;11;11;0.0
11;0.75;41;[0,3,4,5];4;11;11;0.0
12;0.125;8;[0,6];2;12;12;0.0
12;0.25;16;[0];1;12;12;0.0
12;0.5;33;[0,2,5];3;12;12;0.0
12;0.75;49;[0,2,3,4,9,10,11];7;12;12;0.0
13;0.125;9;[0,12,7];3;13;13;0.0
13;0.25;19;[0,3];2;13;13;0.0
13;0.5;39;[0,10,3,5];4;13;13;0.0
13;0.75;58;[0,2,6,8,11];5;13;13;0.0
14;0.125;11;[0,13];2;14;14;0.0
14;0.25;22;[0,6];2;14;14;0.0
14;0.5;45;[0,2,4,7,13];5;14;14;0.0
14;0.75;68;[0,1,4,5,9,13];6;14;14;0.0
15;0.125;13;[0,6];2;15;15;0.0
15;0.25;26;[0,5];2;15;15;0.0
15;0.5;52;[0,1,2,9];4;15;15;0.0
15;0.75;78;[0,2,3,11,13,14];6;15;15;0.0
16;0.125;15;[0,2];2;16;16;0.0
16;0.25;30;[0,2];2;16;16;0.0
16;0.5;60;[0,1,5,8];4;16;16;0.0
16;0.75;90;[0,1,9,10,11,15];6;16;16;0.0
17;0.125;17;[0,9];2;17;17;0.0
17;0.25;34;[0,3,4];3;17;17;0.0
17;0.5;68;[0,1,5,6,7];5;17;17;0.0
17;0.75;102;[0,1,2,3,13];5;17;17;0.0
18;0.125;19;[0,15];2;18;18;0.0
18;0.25;38;[0,1,9];3;18;18;0.0015044212341308594
18;0.5;76;[0,9,3];3;18;18;0.0
